ERS474460	HGDP00163
ERS474461	HGDP00165
ERS474462	HGDP00167
ERS474463	HGDP00169
ERS474464	HGDP00171
ERS474465	HGDP00173
ERS474466	HGDP00175
ERS474467	HGDP00177
ERS474468	HGDP00179
ERS474469	HGDP00181
ERS474470	HGDP00183
ERS474471	HGDP00185
ERS474472	HGDP00187
ERS474473	HGDP00189
ERS474474	HGDP00191
ERS474475	HGDP00192
ERS474477	HGDP00197
ERS474478	HGDP00199
ERS474479	HGDP00201
ERS474480	HGDP00205
ERS474481	HGDP00206
ERS474483	HGDP00210
ERS474485	HGDP00274
ERS474486	HGDP00277
ERS474487	HGDP00279
ERS474488	HGDP00281
ERS474489	HGDP00285
ERS474491	HGDP00288
ERS474492	HGDP00290
ERS474493	HGDP00298
ERS474494	HGDP00302
ERS474495	HGDP00304
ERS474496	HGDP00307
ERS474497	HGDP00309
ERS474498	HGDP00311
ERS474499	HGDP00313
ERS474500	HGDP00315
ERS474501	HGDP00319
ERS474502	HGDP00323
ERS474503	HGDP00326
ERS474505	HGDP00330
ERS474506	HGDP00333
ERS474507	HGDP00001
ERS474508	HGDP00003
ERS474509	HGDP00005
ERS474510	HGDP00007
ERS474511	HGDP00009
ERS474512	HGDP00011
ERS474513	HGDP00013
ERS474514	HGDP00015
ERS474515	HGDP00017
ERS474517	HGDP00021
ERS474518	HGDP00023
ERS474519	HGDP00025
ERS474521	HGDP00029
ERS474522	HGDP00031
ERS474523	HGDP00033
ERS474524	HGDP00035
ERS474525	HGDP00037
ERS474526	HGDP00039
ERS474527	HGDP00041
ERS474528	HGDP00043
ERS474529	HGDP00045
ERS474530	HGDP00047
ERS474531	HGDP00049
ERS474532	HGDP00052
ERS474533	HGDP00054
ERS474534	HGDP00056
ERS474535	HGDP00057
ERS474537	HGDP00060
ERS474538	HGDP00062
ERS474539	HGDP00064
ERS474540	HGDP00066
ERS474541	HGDP00068
ERS474542	HGDP00070
ERS474543	HGDP00072
ERS474544	HGDP00074
ERS474545	HGDP00076
ERS474546	HGDP00078
ERS474547	HGDP00080
ERS474548	HGDP00082
ERS474549	HGDP00086
ERS474550	HGDP00088
ERS474552	HGDP00092
ERS474553	HGDP00094
ERS474554	HGDP00096
ERS474555	HGDP00098
ERS474556	HGDP00130
ERS474557	HGDP00131
ERS474558	HGDP00133
ERS474559	HGDP00134
ERS474560	HGDP00135
ERS474561	HGDP00136
ERS474562	HGDP00137
ERS474563	HGDP00139
ERS474564	HGDP00140
ERS474565	HGDP00141
ERS474566	HGDP00143
ERS474567	HGDP00144
ERS474568	HGDP00145
ERS474569	HGDP00146
ERS474570	HGDP00148
ERS474571	HGDP00149
ERS474572	HGDP00150
ERS474573	HGDP00151
ERS474574	HGDP00153
ERS474575	HGDP00154
ERS474576	HGDP00155
ERS474578	HGDP00158
ERS474580	HGDP00161
ERS474581	HGDP01381
ERS474582	HGDP01382
ERS474583	HGDP01383
ERS474584	HGDP01384
ERS474585	HGDP01385
ERS474586	HGDP01386
ERS474587	HGDP01387
ERS474588	HGDP01388
ERS474589	HGDP01396
ERS474590	HGDP01397
ERS474591	HGDP01398
ERS474592	HGDP01399
ERS474593	HGDP01400
ERS474596	HGDP01403
ERS474597	HGDP01404
ERS474598	HGDP00879
ERS474599	HGDP00880
ERS474600	HGDP00881
ERS474601	HGDP00882
ERS474602	HGDP00883
ERS474603	HGDP00884
ERS474604	HGDP00885
ERS474605	HGDP00886
ERS474607	HGDP00888
